2026-09-10T08:01:33+08:00
---PBSNODES -aSj---
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
61279.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61280.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61281.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61282.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61283.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61284.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61285.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61286.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61287.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61288.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61289.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61302.gaas      tianle0* gpu_as   d02fS       57972   1  12  250gb 12:00 R 05:26
61303.gaas      tianle0* gpu_as   d02fG       57974   1  12  250gb 12:00 R 05:26
61341.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 Q   -- 
61345.gaas      lees0224 gpu_free dtm_cd_abl    --    1  12  250gb 04:00 Q   -- 
61387.gaas      yao.ni   gpu_ded  L_Ca_42.sh  51142   1  12  250gb 02:00 R 00:11
61388.gaas      yao.ni   gpu_ded  L_Ca_0.sh   53908   1  12  250gb 02:00 R 00:09
61389.gaas      yao.ni   gpu_ded  L_Ca_3407*    --    1  12  250gb 02:00 Q   -- 
61390.gaas      yao.ni   gpu_ded  L_Ca_888.*    --    1  12  250gb 02:00 Q   -- 
61391.gaas      yao.ni   gpu_ded  L_Ca_8888*    --    1  12  250gb 02:00 Q   -- 
61392.gaas      yao.ni   gpu_ded  L_DT_42.sh    --    1  12  250gb 02:00 Q   -- 
61393.gaas      yao.ni   gpu_ded  L_DT_0.sh     --    1  12  250gb 02:00 Q   -- 
61394.gaas      yao.ni   gpu_ded  L_DT_3407*    --    1  12  250gb 02:00 Q   -- 
61395.gaas      yao.ni   gpu_ded  L_DT_888.*    --    1  12  250gb 02:00 Q   -- 
61396.gaas      yao.ni   gpu_ded  L_DT_8888*    --    1  12  250gb 02:00 Q   -- 
61397.gaas      yao.ni   gpu_ded  L_Eu_42.sh    --    1  12  250gb 02:00 Q   -- 
61398.gaas      yao.ni   gpu_ded  L_Eu_0.sh     --    1  12  250gb 02:00 Q   -- 
61399.gaas      yao.ni   gpu_ded  L_Eu_3407*    --    1  12  250gb 02:00 Q   -- 
61400.gaas      yao.ni   gpu_ded  L_Eu_888.*    --    1  12  250gb 02:00 Q   -- 
61401.gaas      yao.ni   gpu_ded  L_Eu_8888*    --    1  12  250gb 02:00 Q   -- 
61402.gaas      yao.ni   gpu_ded  L_GT_42.sh    --    1  12  250gb 02:00 Q   -- 
61403.gaas      yao.ni   gpu_ded  L_GT_0.sh     --    1  12  250gb 02:00 Q   -- 
61404.gaas      yao.ni   gpu_ded  L_GT_3407*    --    1  12  250gb 02:00 Q   -- 
61405.gaas      yao.ni   gpu_ded  L_GT_888.*    --    1  12  250gb 02:00 Q   -- 
61406.gaas      yao.ni   gpu_ded  L_GT_8888*    --    1  12  250gb 02:00 Q   -- 
61412.gaas      shangqu* gpu_as   run_full_* 163302   1  12  250gb 10:25 R 02:22
61413.gaas      shangqu* gpu_as   run_full_* 163358   1  12  250gb 10:25 R 02:22
61414.gaas      shangqu* gpu_as   run_full_* 163391   1  12  250gb 10:25 R 02:22
61415.gaas      shangqu* gpu_as   run_full_* 163393   1  12  250gb 10:25 R 02:22
61416.gaas      shangqu* gpu_as   opsa-qwen*    --    1  48  1000g 24:00 Q   -- 
61417.gaas      mingjia* gpu_free vr_b000_b*    --    1  12  250gb 04:00 H   -- 
61418.gaas      lees0224 gpu_free dtm_cd_abl    --    1  12  250gb 04:00 Q   -- 
